Strain	Generation	Males red eyes crossed	Females white eyes crossed	Type	Transgenic Parent	Cross	Cross2	Temperature	F1_males	F1_females	F1_Adults	F1_re	F1_we	pct male	efficiency 
Cas9	1	5	1	single	F	TFxWeM	Cas9_FxWeM	27	NA	NA	34	34	0	NA	0
Cas9	1	5	1	single	F	TFxWeM	Cas9_FxWeM	27	NA	NA	210	210	0	NA	0
Cas9	1	5	1	single	F	TFxWeM	Cas9_FxWeM	27	NA	NA	123	123	0	NA	0
Cas9	1	5	1	single	F	TFxWeM	Cas9_FxWeM	27	NA	NA	27	0	0	NA	0
Cas9	1	5	1	single	F	TFxWeM	Cas9_FxWeM	27	NA	NA	56	54	2	NA	3.571428571
Cas9	1	5	1	single	F	TFxWeM	Cas9_FxWeM	27	NA	NA	97	96	1	NA	1.030927835
Cas9	1	5	1	single	F	TFxWeM	Cas9_FxWeM	27	NA	NA	117	117	0	NA	0
Cas9	1	5	1	single	F	TFxWeM	Cas9_FxWeM	27	NA	NA	135	135	0	NA	0
Control	1	5	1	single	none	WEMxWTF	WEMxWTF	27	NA	NA	160	160	0	NA	0
Control	1	5	1	single	none	WEMxWTF	WEMxWTF	27	NA	NA	43	43	0	NA	0
Control	1	5	1	single	none	WEMxWTF	WEMxWTF	27	NA	NA	65	65	0	NA	0
Control	1	5	1	single	none	WEMxWTF	WEMxWTF	27	NA	NA	38	38	0	NA	0
Control	1	5	1	single	none	WEMxWTF	WEMxWTF	27	NA	NA	58	58	0	NA	0
