c.label	name	chromosome	contignum	c_start	c_end	cq_contig	counts
118	sc1_137	1	137	26895714	27182731	0.681227	10
119	sc1_139	1	139	27182831	27779389	0.924197	12
120	sc1_143	1	143	27840773	28624749	1.04283	39
121	sc1_147	1	147	28907828	29449214	0.999905	13
122	sc1_149	1	149	29449314	30052246	0.927156	27
123	sc1_153	1	153	30201347	31196748	1.194385	32
124	sc1_161	1	161	32498536	33042402	1.064265	16
125	sc1_165	1	165	33430686	34369132	1.00457	36
126	sc1_171	1	171	34622953	35181751	0.9915925	26
127	sc1_173	1	173	35181851	35947515	1.0063805	24
128	sc1_179	1	179	36412093	36853441	0.905562	15
129	sc1_183	1	183	36918797	37258191	1.11336	11
130	sc1_185	1	185	37258291	38243552	1.004465	30
131	sc1_191	1	191	38670904	39074977	0.951924	19
132	sc1_199	1	199	39649921	40705652	0.918891	55
133	sc1_203	1	203	40885540	41314662	0.98297	23
134	sc1_205	1	205	41314762	41881499	0.981982	24
135	sc1_213	1	213	42325607	42645779	1.05859	15
136	sc1_215	1	215	42645879	44100168	0.936221	47
137	sc1_227	1	227	44700389	45367549	1.089935	10
138	sc1_229	1	229	45367649	45756978	1.02642	15
139	sc1_233	1	233	45814108	46327532	0.909739	15
140	sc1_243	1	243	46685555	47812551	0.975713	67
141	sc1_251	1	251	48140420	49898123	0.998838	93
142	sc1_257	1	257	50201863	50599720	0.918266	13
143	sc1_261	1	261	50723461	51664156	1.02323	39
144	sc1_271	1	271	52268865	52599796	1.005958	18
145	sc1_277	1	277	52957737	54015039	1.08753	47
146	sc1_279	1	279	54015139	55232724	0.921165	43
147	sc1_281	1	281	55232824	56279432	1.00137	45
148	sc1_285	1	285	56448703	57588668	1.039725	48
149	sc1_287	1	287	57588768	59156622	0.958799	63
150	sc1_291	1	291	59450354	59920008	0.9768785	22
151	sc1_295	1	295	60391648	60727573	1.00872	21
152	sc1_311	1	311	62021865	62731107	1.04673	33
153	sc1_315	1	315	62830186	63262034	1.0337175	14
154	sc1_323	1	323	63469894	63669611	1.01505	11
155	sc1_325	1	325	63669711	67686581	1.032955	120
156	sc1_333	1	333	68018716	68776785	1.23147	17
157	sc1_335	1	335	68776885	69480010	1.03669	32
158	sc1_337	1	337	69480110	70122434	0.838609	17
159	sc1_339	1	339	70122534	70725122	1.019805	28
160	sc1_343	1	343	70775363	71099221	0.998888	18
161	sc1_349	1	349	71413357	73907539	0.971701	101
162	sc1_353	1	353	74219018	75028591	0.910109	11
163	sc1_359	1	359	75454193	76162541	1.01994	26
164	sc1_363	1	363	76301635	77132462	1.01134	26
165	sc1_371	1	371	77966508	78552161	1.04467	13
166	sc1_373	1	373	78552261	79553006	1.003793	24
167	sc1_377	1	377	79723012	82105791	1.07834	71
168	sc1_381	1	381	82145204	84069743	0.94428	85
169	sc1_383	1	383	84069843	85610430	1.074225	48
170	sc1_385	1	385	85610530	86150099	0.891732	33
171	sc1_391	1	391	86192753	86650640	1.03767	10
172	sc1_393	1	393	86650740	87459646	1.05276	31
173	sc1_405	1	405	88027937	88697904	1.05786	27
174	sc1_407	1	407	88698004	89746990	1.03169	63
175	sc1_409	1	409	89747090	89983748	1.02373	11
176	sc1_417	1	417	90449226	91697442	0.9471625	64
177	sc1_419	1	419	91697542	91974904	1.102475	14
178	sc1_427	1	427	92308974	93107829	1.11341	26
179	sc1_429	1	429	93107929	94492204	1.00482	75
180	sc1_435	1	435	94625968	94865152	0.9357675	10
181	sc1_439	1	439	94968443	95362201	0.9908485	26
182	sc1_441	1	441	95362301	95507704	0.934857	10
183	sc1_445	1	445	95852787	96408178	1.01471	31
184	sc1_447	1	447	96408278	97041700	0.93389	17
185	sc1_461	1	461	97660266	99864913	0.968633	111
186	sc1_465	1	465	99976315	100378548	0.906507	15
187	sc1_467	1	467	100378648	100538694	1.046185	10
188	sc4_1	4	1	0	3003428	0.94716	111
189	sc4_3	4	3	3003528	3823812	0.910403	31
190	sc4_5	4	5	3823912	4936997	0.935834	61
191	sc4_9	4	9	5067993	5641373	1.09772	24
192	sc4_11	4	11	5641473	6324450	0.817767	37
193	sc4_13	4	13	6324550	6596674	1.0003955	12
194	sc4_17	4	17	6714677	8727108	1.07607	107
195	sc4_29	4	29	9400085	9710355	1.060235	20
196	sc4_37	4	37	10370432	10708542	0.964452	13
197	sc4_39	4	39	10708642	11083703	0.9501485	18
198	sc4_45	4	45	11357584	11819734	1.006291	20
199	sc4_47	4	47	11819834	12992926	0.963249	42
200	sc4_51	4	51	13235422	14074912	0.976284	40
201	sc4_55	4	55	14103620	16304937	1.04275	62
202	sc4_61	4	61	16655097	18779768	1.00516	53
203	sc4_71	4	71	19804894	20917636	1.65661	27
204	sc4_73	4	73	20917736	22224711	1.02422	47
205	sc4_75	4	75	22224811	25985765	1.05854	161
206	sc4_77	4	77	25985865	27090731	1.01265	45
207	sc4_83	4	83	27336509	28023725	1.013685	52
208	sc4_113	4	113	29808258	30015636	1.03189	11
209	sc4_119	4	119	30112907	30397989	0.868135	11
210	sc4_127	4	127	30774176	32408616	1.00069	77
211	sc4_137	4	137	32771308	34016374	1.05457	52
212	sc4_139	4	139	34016474	34861464	0.947911	44
213	sc4_143	4	143	35437677	36257947	1.06259	25
214	sc4_149	4	149	36367077	37483351	1.01331	79
215	sc4_151	4	151	37483451	38930265	0.9517035	68
216	sc4_157	4	157	39510837	40906247	0.9449595	86
217	sc4_163	4	163	41252415	41599460	0.9579785	24
218	sc4_167	4	167	41621490	42027592	0.9836885	44
219	sc4_169	4	169	42027692	44826518	1.00738	213
220	sc4_173	4	173	44888151	45314270	1.024345	24
221	sc4_175	4	175	45314370	45604020	1.00663	33
222	sc4_179	4	179	45723775	45864702	0.855315	12
223	sc4_181	4	181	45864802	47497238	1.05009	123
224	sc4_183	4	183	47497338	49859003	1.01173	182
225	sc4_185	4	185	49859103	51052669	1.09407	43
226	sc4_189	4	189	51258697	52460412	0.972681	96
227	sc4_193	4	193	52610369	53232240	0.948884	25
228	sc4_201	4	201	53699767	54223628	1.04513	19
229	sc4_213	4	213	54747129	54991067	0.8616525	24
230	sc4_217	4	217	55038665	55715891	1.01138	43
231	sc4_219	4	219	55715991	56068471	1.05475	17
232	sc4_221	4	221	56068571	56237943	1.0366	10
233	sc4_229	4	229	56459064	56846072	1.034425	26
234	sc4_243	4	243	57922865	58664341	0.97838	43
235	sc4_255	4	255	59047721	59325831	0.9639985	22
236	sc4_257	4	257	59325931	59524220	1.10378	19
237	sc4_265	4	265	59694570	60256361	0.977359	21
238	sc4_273	4	273	60591608	61265947	0.972349	32
239	sc4_281	4	281	61764486	62920597	0.996537	74
240	sc4_285	4	285	62983752	63605019	0.9551325	24
241	sc4_287	4	287	63605119	63941455	0.926011	13
242	sc4_313	4	313	65688713	66529570	1.13197	39
243	sc4_331	4	331	67528239	67819640	1.037825	14
244	sc4_333	4	333	67819740	67891655	0.989706	12
245	sc4_335	4	335	67891755	69158268	0.920267	75
246	sc4_337	4	337	69158368	70804608	1.0554	125
247	sc4_339	4	339	70804708	72382236	0.95573	59
248	sc6_1	6	1	0	1444776	1.027615	66
249	sc6_3	6	3	1444876	1717095	1.08946	15
250	sc6_7	6	7	1830854	2439724	0.879245	19
251	sc6_11	6	11	2459280	7488864	1.14202	155
252	sc6_13	6	13	7488964	8033672	1.05897	31
253	sc6_15	6	15	8033772	8701062	0.95467	35
254	sc6_21	6	21	8889379	9213107	0.985441	14
255	sc6_27	6	27	9494832	9910552	0.983026	18
256	sc6_33	6	33	10352644	10886054	1.07509	15
257	sc6_45	6	45	11307733	11676440	0.549611	10
258	sc6_51	6	51	11916044	12196821	0.92327	10
259	sc6_61	6	61	12781302	13129965	1.040405	14
260	sc6_65	6	65	13190041	13684684	1.05985	27
261	sc6_73	6	73	14061046	14288000	0.9782095	18
262	sc6_75	6	75	14288100	14584838	0.9735585	26
263	sc6_97	6	97	15787532	16397954	1.026325	50
264	sc6_103	6	103	16539393	16722503	1.13903	10
265	sc6_107	6	107	16765004	17163202	0.903586	13
266	sc6_109	6	109	17163302	17342569	1.09354	16
267	sc6_119	6	119	17593875	18239723	0.9493565	52
268	sc6_127	6	127	18480148	18560764	0.816764	11
269	sc6_133	6	133	18681319	19042017	0.954238	15
270	sc6_139	6	139	19141015	19711594	0.9616025	56
271	sc6_143	6	143	19786650	20673928	0.996313	64
272	sc6_145	6	145	20674028	20847567	1.07564	21
273	sc6_147	6	147	20847667	21232827	0.3356755	16
274	sc6_153	6	153	21572367	21855664	1.09749	27
275	sc6_157	6	157	21921910	22267556	0.955068	64
276	sc6_159	6	159	22267656	22496535	1.130655	14
277	sc6_179	6	179	23573938	25023518	0.997778	61
278	sc6_183	6	183	25169460	25640331	0.91254	46
279	sc6_185	6	185	25640431	27780886	1.0495	187
280	sc6_191	6	191	27904052	28440528	1.06704	11
281	sc6_193	6	193	28440628	28595238	0.941338	10
282	sc6_195	6	195	28595338	29013829	0.7974465	22
283	sc6_203	6	203	29415587	30884401	0.953131	80
284	sc6_207	6	207	30998947	31898827	0.9588125	22
285	sc6_209	6	209	31898927	33416741	0.998238	67
286	sc6_211	6	211	33416841	34204286	0.8924625	42
287	sc6_213	6	213	34204386	34786384	0.9693825	18
288	sc6_217	6	217	34965096	35273016	1.0149965	10
289	sc6_235	6	235	36133427	36837610	0.984429	38
290	sc6_237	6	237	36837710	37834544	1.02225	57
291	sc6_239	6	239	37834644	38057600	0.982267	17
292	sc6_243	6	243	38174579	38516180	1.04387	22
293	sc6_245	6	245	38516280	38972827	0.851941	38
294	sc6_247	6	247	38972927	39169831	0.9268075	10
295	sc6_253	6	253	39479526	39642600	0.957334	16
296	sc6_265	6	265	39985615	40325151	0.986318	21
297	sc6_269	6	269	40441452	40681563	0.9818215	14
298	sc6_287	6	287	41721883	42279341	0.902107	36
299	sc6_289	6	289	42279441	42875588	0.92374	27
300	sc6_297	6	297	43179827	43501697	0.9463715	22
301	sc6_311	6	311	44043822	44658642	1.03102	19
302	sc6_315	6	315	44747576	45411523	0.962558	29
303	sc6_319	6	319	45464323	45681594	0.9669365	10
304	sc6_325	6	325	45891016	46294883	0.8530745	26
305	sc6_331	6	331	46544439	47041600	1.00778	40
306	sc6_333	6	333	47041700	47374135	1.15837	17
307	sc6_335	6	335	47374235	47866159	0.914767	25
308	sc6_337	6	337	47866259	48781503	0.935913	61
309	sc6_339	6	339	48781603	49338366	0.9232915	20
310	sc6_341	6	341	49338466	50125970	1.037305	48
311	sc6_343	6	343	50126070	51222341	1.03478	60
312	sc6_345	6	345	51222441	52805477	1.026475	152
313	sc6_347	6	347	52805577	53438066	1.03059	37
314	sc6_357	6	357	53940220	54245808	0.9749615	36
315	sc6_359	6	359	54245908	54620301	1.2702	12
316	sc6_361	6	361	54620401	56625426	0.978561	80
317	sc6_363	6	363	56625526	57034826	0.881304	10
318	sc6_365	6	365	57034926	58216823	1.0009725	52
319	sc6_367	6	367	58216923	58422392	0.9191705	10
320	sc6_369	6	369	58422492	58734104	0.954757	19
321	sc6_383	6	383	59413990	59852181	0.97117	25
322	sc6_387	6	387	59969608	60511475	1.15874	22
323	sc6_391	6	391	60605242	60964807	1.0379	27
324	sc6_395	6	395	61085516	61233085	1.19911	12
325	sc6_397	6	397	61233185	61513449	1.020125	16
326	sc6_399	6	399	61513549	61765959	1.17361	21
327	sc6_409	6	409	62063949	62361707	1.045765	18
328	sc6_417	6	417	62616990	62694023	0.9096205	14
329	sc6_419	6	419	62694123	62870220	0.985791	13
330	sc6_423	6	423	63051738	63275010	0.707436	12
331	sc6_425	6	425	63275110	64099527	0.9000725	46
332	sc3_13	3	13	966507	2024098	0.02779765	38
333	sc3_37	3	37	4708310	5072965	1.60936	19
334	sc3_53	3	53	6253054	7171165	1.62958	17
335	sc3_55	3	55	7171265	8087250	1.799045	16
336	sc3_57	3	57	8087350	8867506	1.62521	38
337	sc3_59	3	59	8867606	9645851	1.76724	11
338	sc3_65	3	65	10047724	10983857	1.86412	14
339	sc3_101	3	101	14905821	15058559	0.250578	10
340	sc3_147	3	147	18106833	19642688	0.0395004	42
341	sc3_177	3	177	21921025	22096149	0.01007017	20
342	sc3_183	3	183	22528519	22994091	1.760835	20
343	sc3_197	3	197	24401856	24703384	2.23323	17
344	sc3_211	3	211	26125539	26644770	1.4629	11
345	sc3_219	3	219	26924683	27532181	1.584315	36
346	sc3_225	3	225	28038839	29240670	1.266185	22
347	sc3_227	3	227	29240770	30386364	1.88053	22
348	sc3_233	3	233	30750999	31696239	1.69003	21
349	sc3_237	3	237	31731021	32084417	2.01867	15
350	sc3_241	3	241	32163470	32421943	1.83665	15
351	sc3_273	3	273	35320182	36287862	0.6457495	20
352	sc3_297	3	297	38810564	39238554	1.87525	11
353	sc3_299	3	299	39238654	40059395	1.83665	25
354	sc3_305	3	305	40935723	41449589	0.0261922	13
355	sc3_317	3	317	43157765	43427653	0.00405081	13
356	sc3_337	3	337	45385952	46154376	0.0325523	22
357	sc3_341	3	341	46478745	47416616	1.61348	14
358	sc3_347	3	347	48130592	50059726	1.57835	51
359	sc3_349	3	349	50059826	50401304	2.59636	12
360	sc3_351	3	351	50401404	51785090	1.72948	45
361	sc3_357	3	357	52781342	53961146	1.611625	10
362	sc3_359	3	359	53961246	55355537	1.75632	32
363	sc3_365	3	365	55891178	56703212	1.89528	23
364	sc3_371	3	371	57324167	57729292	1.49962	12
365	sc3_373	3	373	57729392	58126889	2.12918	15
366	sc3_375	3	375	58126989	59096813	1.721755	26
367	sc3_377	3	377	59096913	62199023	1.82318	59
368	sc3_393	3	393	64186811	64522116	1.93073	15
369	sc3_401	3	401	65232224	65516834	0.0176719	10
370	sc3_411	3	411	66176316	66605281	0.0267197	14
371	sc3_425	3	425	67233747	68635001	1.9368	49
372	sc3_427	3	427	68635101	69188311	1.44438	26
373	sc3_439	3	439	70246153	70896398	1.78087	27
374	sc3_441	3	441	70896498	71788770	1.739635	46
375	sc3_445	3	445	72364062	72753116	1.768105	14
376	sc3_447	3	447	72753216	73207460	1.747055	12
377	sc3_451	3	451	73723131	74338062	1.577075	10
378	sc3_457	3	457	74617016	74896076	1.68103	10
379	sc3_471	3	471	76395146	76726025	1.650445	10
380	sc5_5	5	5	245002	1405995	0.956364	45
381	sc5_7	5	7	1406095	1689962	1.1657	10
382	sc5_9	5	9	1690062	1942243	0.909068	14
383	sc5_13	5	13	2109436	2734824	0.989396	26
384	sc5_21	5	21	3028573	4508437	0.969124	82
385	sc5_31	5	31	4946900	5352989	1.09516	20
386	sc5_33	5	33	5353089	6197380	0.977876	39
387	sc5_39	5	39	6360891	6907529	1.03681	12
388	sc5_47	5	47	7217599	7859013	0.971622	41
389	sc5_55	5	55	8075561	9425030	1.01926	62
390	sc5_73	5	73	10216438	10391961	0.479922	15
391	sc5_75	5	75	10392061	10720870	1.02462	11
392	sc5_77	5	77	10720970	10897035	1.00382	14
393	sc5_85	5	85	11231026	11959634	0.938019	41
394	sc5_87	5	87	11959734	12302010	0.9835665	26
395	sc5_95	5	95	12675314	12828743	0.9287355	12
396	sc5_101	5	101	13012715	13364995	1.08255	24
397	sc5_103	5	103	13365095	13643036	0.985036	23
398	sc5_107	5	107	13747994	14537918	0.971444	25
399	sc5_109	5	109	14538018	15046766	1.18663	27
400	sc5_115	5	115	15194804	15285038	1.22343	19
401	sc5_125	5	125	15630130	15995993	1.06682	21
402	sc5_129	5	129	16121127	16829468	0.969258	27
403	sc5_131	5	131	16829568	17284198	0.9568875	22
404	sc5_141	5	141	17857486	18167227	0.928106	24
405	sc5_151	5	151	18650492	19269238	1.05838	39
406	sc5_153	5	153	19269338	19692149	0.952774	25
407	sc5_165	5	165	20168462	21461355	1.04805	34
408	sc5_171	5	171	21795584	22273395	1.01555	17
409	sc5_187	5	187	23405608	24004469	0.960325	28
410	sc5_191	5	191	24088564	24496160	0.9401665	14
411	sc5_193	5	193	24496260	24716577	0.890815	11
412	sc5_207	5	207	25303222	25735986	1.00924	15
413	sc5_209	5	209	25736086	26080985	1.11616	21
414	sc5_213	5	213	26356629	27246703	1.03668	50
415	sc5_217	5	217	27474645	28209663	1.169285	26
416	sc5_233	5	233	28920683	29324679	1.1311	15
417	sc5_237	5	237	29498665	29837451	1.025285	28
418	sc5_239	5	239	29837551	29990815	1.080265	12
419	sc5_243	5	243	30167927	30498940	0.844303	11
420	sc5_247	5	247	30813902	31312044	0.820895	19
421	sc5_249	5	249	31312144	31909521	0.8761125	32
422	sc5_253	5	253	32078594	32649864	0.920392	31
423	sc5_259	5	259	32825761	33434444	0.9834085	26
424	sc5_261	5	261	33434544	34342154	1.03774	54
425	sc5_263	5	263	34342254	34600918	0.958438	25
426	sc5_265	5	265	34601018	35115334	1.14518	39
427	sc5_267	5	267	35115434	35255502	1.36849	15
428	sc5_269	5	269	35255602	35761711	1.1123	17
429	sc5_271	5	271	35761811	37304034	0.989568	79
430	sc5_275	5	275	37367694	38645394	1.06491	39
431	sc5_277	5	277	38645494	40607710	0.975122	99
432	sc5_283	5	283	40926090	43604354	1.00431	97
433	sc5_289	5	289	44075295	45790334	1.05928	48
434	sc5_299	5	299	46740541	47270529	0.81421	21
435	sc5_305	5	305	47748809	48352847	1.08533	13
436	sc5_309	5	309	48551188	49219217	0.943495	16
437	sc5_315	5	315	49425329	49959563	0.934819	24
438	sc5_317	5	317	49959663	50429866	0.9744135	12
439	sc5_329	5	329	50871310	51361780	1.026705	32
440	sc5_331	5	331	51361880	51658964	1.067095	14
441	sc5_337	5	337	51780733	52097601	0.8698545	14
442	sc5_339	5	339	52097701	52233974	0.9989385	16
443	sc5_353	5	353	52909448	53072689	1.043132	10
444	sc5_359	5	359	53237677	53689906	0.961475	28
445	sc5_361	5	361	53690006	53975507	0.9448105	32
446	sc5_373	5	373	54491583	55023879	0.926683	27
447	sc5_375	5	375	55023979	55353040	0.908977	18
448	sc5_377	5	377	55353140	55608483	1.004214	22
449	sc5_389	5	389	56135085	56540756	0.999013	20
450	sc5_393	5	393	56617984	56813467	1.07393	17
451	sc5_395	5	395	56813567	57279637	0.93498	46
452	sc5_401	5	401	57546911	57725234	1.208085	20
453	sc5_403	5	403	57725334	57934373	0.923554	14
454	sc5_405	5	405	57934473	58483156	1.03977	39
455	sc5_407	5	407	58483256	58643157	1.111265	18
456	sc5_413	5	413	58938787	60720454	1.004075	180
457	sc5_415	5	415	60720554	60992740	1.08561	14
458	sc5_417	5	417	60992840	61810883	1.00367	47
459	sc5_419	5	419	61810983	62913762	0.9963035	100
460	sc5_425	5	425	63069138	65856695	1.028815	220
461	sc5_431	5	431	66044182	66361911	0.9521125	18
462	sc5_437	5	437	66693690	67831853	0.843179	69
463	sc5_439	5	439	67831953	67964905	0.9633825	10
464	sc5_443	5	443	68054916	68504481	1.05642	16
465	sc5_447	5	447	68558644	70223462	1.0029105	124
